Date,SNR,BER,PER
14.09.2015-14-32-44,13.02,0.01081423,0.15890000
14.09.2015-14-36-07,13.22,0.00886883,0.13850000
14.09.2015-14-39-44,13.31,0.00874610,0.13760000
14.09.2015-14-43-07,13.36,0.00790348,0.12620000
14.09.2015-14-46-31,13.36,0.00885872,0.13960000
14.09.2015-14-49-55,13.37,0.00833568,0.13100000
14.09.2015-14-53-19,13.41,0.00778455,0.11980000
14.09.2015-14-56-42,13.43,0.00709713,0.11670000
14.09.2015-15-00-05,13.45,0.00614920,0.11110000
14.09.2015-15-03-28,13.47,0.00633307,0.10540000
14.09.2015-15-06-51,13.49,0.00546962,0.10290000
14.09.2015-15-10-15,13.50,0.00666873,0.11500000
14.09.2015-15-13-37,13.51,0.00669805,0.11050000
14.09.2015-15-17-01,13.53,0.00600770,0.10770000
