Type;FSL-6;
Version;2.00 SP3;
Date;25.Aug 15;
Mode;ANALYZER;
Center Freq;2000000000.000000;Hz
Freq Offset;0.000000;Hz
Span;5000000.000000;Hz
x-Axis;LIN;
Start;1997500000.000000;Hz
Stop;2002500000.000000;Hz
Ref Level;0.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;20.000000;dB
RBW;100000.000000;Hz
VBW;300000.000000;Hz
SWT;0.002500;s
Trace Mode;VIEW;
Detector;MAXPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;501;
1997500000;-63.267417907714844;
1997510000;-62.285343170166016;
1997520000;-64.788917541503906;
1997530000;-64.818138122558594;
1997540000;-64.464530944824219;
1997550000;-63.766674041748047;
1997560000;-63.420223236083984;
1997570000;-63.434310913085938;
1997580000;-63.635448455810547;
1997590000;-65.048675537109375;
1997600000;-65.007781982421875;
1997610000;-63.982593536376953;
1997620000;-63.739402770996094;
1997630000;-63.866779327392578;
1997640000;-63.853664398193359;
1997650000;-63.683528900146484;
1997660000;-63.765453338623047;
1997670000;-64.355712890625;
1997680000;-64.595062255859375;
1997690000;-64.621566772460937;
1997700000;-63.273494720458984;
1997710000;-63.569564819335938;
1997720000;-63.1036376953125;
1997730000;-63.029510498046875;
1997740000;-63.75384521484375;
1997750000;-63.174983978271484;
1997760000;-63.820339202880859;
1997770000;-64.2645263671875;
1997780000;-63.901222229003906;
1997790000;-64.231376647949219;
1997800000;-63.290946960449219;
1997810000;-64.246612548828125;
1997820000;-64.942787170410156;
1997830000;-64.85968017578125;
1997840000;-64.310775756835938;
1997850000;-64.639457702636719;
1997860000;-62.508384704589844;
1997870000;-62.371967315673828;
1997880000;-63.305271148681641;
1997890000;-63.349449157714844;
1997900000;-64.749557495117187;
1997910000;-64.239067077636719;
1997920000;-64.838607788085937;
1997930000;-63.547451019287109;
1997940000;-63.389659881591797;
1997950000;-64.023506164550781;
1997960000;-64.919593811035156;
1997970000;-63.518222808837891;
1997980000;-64.182571411132812;
1997990000;-64.837211608886719;
1998000000;-64.865669250488281;
1998010000;-64.383750915527344;
1998020000;-65.031524658203125;
1998030000;-64.532119750976562;
1998040000;-64.266807556152344;
1998050000;-64.190841674804688;
1998060000;-63.573638916015625;
1998070000;-63.256862640380859;
1998080000;-63.312385559082031;
1998090000;-63.763645172119141;
1998100000;-61.257442474365234;
1998110000;-63.665325164794922;
1998120000;-64.019577026367188;
1998130000;-63.277938842773437;
1998140000;-63.584701538085938;
1998150000;-63.469432830810547;
1998160000;-63.662521362304688;
1998170000;-63.662784576416016;
1998180000;-64.609901428222656;
1998190000;-63.371067047119141;
1998200000;-63.663166046142578;
1998210000;-63.987567901611328;
1998220000;-65.066650390625;
1998230000;-64.309410095214844;
1998240000;-64.481834411621094;
1998250000;-63.693824768066406;
1998260000;-64.46624755859375;
1998270000;-64.125778198242188;
1998280000;-63.960231781005859;
1998290000;-63.813186645507813;
1998300000;-63.296249389648438;
1998310000;-64.017501831054687;
1998320000;-64.620246887207031;
1998330000;-63.567375183105469;
1998340000;-64.123756408691406;
1998350000;-64.597030639648438;
1998360000;-64.907325744628906;
1998370000;-64.519996643066406;
1998380000;-64.907737731933594;
1998390000;-64.159088134765625;
1998400000;-63.998561859130859;
1998410000;-64.526466369628906;
1998420000;-63.725833892822266;
1998430000;-63.871444702148438;
1998440000;-63.801097869873047;
1998450000;-63.141117095947266;
1998460000;-64.711143493652344;
1998470000;-64.993148803710938;
1998480000;-64.680862426757813;
1998490000;-64.412178039550781;
1998500000;-64.159523010253906;
1998510000;-64.813438415527344;
1998520000;-62.382038116455078;
1998530000;-62.683460235595703;
1998540000;-64.096229553222656;
1998550000;-64.703514099121094;
1998560000;-65.329826354980469;
1998570000;-63.045215606689453;
1998580000;-61.942432403564453;
1998590000;-61.829673767089844;
1998600000;-64.630485534667969;
1998610000;-64.251800537109375;
1998620000;-64.449928283691406;
1998630000;-64.413917541503906;
1998640000;-63.712898254394531;
1998650000;-63.946933746337891;
1998660000;-63.839218139648438;
1998670000;-64.489387512207031;
1998680000;-64.678810119628906;
1998690000;-65.60247802734375;
1998700000;-63.530807495117188;
1998710000;-63.715801239013672;
1998720000;-64.613029479980469;
1998730000;-64.193107604980469;
1998740000;-62.294502258300781;
1998750000;-62.354877471923828;
1998760000;-63.977134704589844;
1998770000;-64.074928283691406;
1998780000;-64.110786437988281;
1998790000;-65.010292053222656;
1998800000;-63.899501800537109;
1998810000;-63.163490295410156;
1998820000;-64.160552978515625;
1998830000;-64.618415832519531;
1998840000;-63.874225616455078;
1998850000;-64.024948120117187;
1998860000;-64.5830078125;
1998870000;-63.977210998535156;
1998880000;-62.862339019775391;
1998890000;-62.201045989990234;
1998900000;-63.849033355712891;
1998910000;-64.100273132324219;
1998920000;-65.313095092773438;
1998930000;-65.182952880859375;
1998940000;-64.122329711914062;
1998950000;-64.123817443847656;
1998960000;-63.202289581298828;
1998970000;-63.177207946777344;
1998980000;-64.307586669921875;
1998990000;-64.451652526855469;
1999000000;-64.751655578613281;
1999010000;-64.127716064453125;
1999020000;-64.538604736328125;
1999030000;-65.205726623535156;
1999040000;-64.272720336914062;
1999050000;-64.149482727050781;
1999060000;-64.213027954101563;
1999070000;-64.538887023925781;
1999080000;-64.430435180664062;
1999090000;-64.584747314453125;
1999100000;-63.376388549804688;
1999110000;-64.292984008789063;
1999120000;-64.026313781738281;
