Type;FSL-6;
Version;2.00 SP3;
Date;25.Aug 15;
Mode;ANALYZER;
Center Freq;2000000000.000000;Hz
Freq Offset;0.000000;Hz
Span;5000000.000000;Hz
x-Axis;LIN;
Start;1997500000.000000;Hz
Stop;2002500000.000000;Hz
Ref Level;-30.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;100000.000000;Hz
VBW;300000.000000;Hz
SWT;0.002500;s
Trace Mode;MAXHOLD;
Detector;MAXPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;501;
1997500000;-82.53875732421875;
1997510000;-82.57537841796875;
1997520000;-83.1676025390625;
1997530000;-83.363082885742187;
1997540000;-83.570426940917969;
1997550000;-83.955787658691406;
1997560000;-84.458023071289063;
1997570000;-84.720222473144531;
1997580000;-84.187309265136719;
1997590000;-84.319770812988281;
1997600000;-83.485626220703125;
1997610000;-83.115219116210937;
1997620000;-83.684181213378906;
1997630000;-84.335662841796875;
1997640000;-83.995513916015625;
1997650000;-83.737251281738281;
1997660000;-83.642868041992187;
1997670000;-83.703399658203125;
1997680000;-83.212318420410156;
1997690000;-83.479217529296875;
1997700000;-83.485748291015625;
1997710000;-84.138481140136719;
1997720000;-83.522270202636719;
1997730000;-84.590751647949219;
1997740000;-84.466224670410156;
1997750000;-83.127334594726563;
1997760000;-84.00128173828125;
1997770000;-83.839431762695312;
1997780000;-84.208099365234375;
1997790000;-83.207511901855469;
1997800000;-84.165130615234375;
1997810000;-83.594551086425781;
1997820000;-83.368537902832031;
1997830000;-83.089332580566406;
1997840000;-82.789176940917969;
1997850000;-83.03082275390625;
1997860000;-82.961723327636719;
1997870000;-83.364898681640625;
1997880000;-83.151969909667969;
1997890000;-83.073280334472656;
1997900000;-83.035591125488281;
1997910000;-83.010101318359375;
1997920000;-83.300308227539062;
1997930000;-83.840522766113281;
1997940000;-83.666366577148438;
1997950000;-82.21270751953125;
1997960000;-82.376388549804687;
1997970000;-83.922378540039063;
1997980000;-83.954742431640625;
1997990000;-84.106918334960938;
1998000000;-83.282020568847656;
1998010000;-83.857070922851562;
1998020000;-83.293647766113281;
1998030000;-83.294425964355469;
1998040000;-83.285697937011719;
1998050000;-83.793258666992188;
1998060000;-83.910316467285156;
1998070000;-84.144546508789063;
1998080000;-82.921356201171875;
1998090000;-82.927108764648438;
1998100000;-83.062171936035156;
1998110000;-83.25067138671875;
1998120000;-84.348564147949219;
1998130000;-83.606575012207031;
1998140000;-83.144325256347656;
1998150000;-83.141914367675781;
1998160000;-82.776329040527344;
1998170000;-83.60174560546875;
1998180000;-84.225532531738281;
1998190000;-84.117156982421875;
1998200000;-83.210433959960938;
1998210000;-82.077445983886719;
1998220000;-82.486183166503906;
1998230000;-82.626419067382813;
1998240000;-83.2061767578125;
1998250000;-83.088790893554687;
1998260000;-83.736961364746094;
1998270000;-83.746406555175781;
1998280000;-83.446121215820313;
1998290000;-83.347434997558594;
1998300000;-83.429824829101563;
1998310000;-83.664176940917969;
1998320000;-82.423187255859375;
1998330000;-82.541038513183594;
1998340000;-81.866935729980469;
1998350000;-83.843833923339844;
1998360000;-84.038284301757812;
1998370000;-83.467918395996094;
1998380000;-82.721305847167969;
1998390000;-82.886405944824219;
1998400000;-84.28302001953125;
1998410000;-84.691360473632812;
1998420000;-83.776138305664063;
1998430000;-84.11083984375;
1998440000;-83.285659790039063;
1998450000;-83.60382080078125;
1998460000;-84.23480224609375;
1998470000;-83.995262145996094;
1998480000;-84.062263488769531;
1998490000;-83.493942260742187;
1998500000;-83.093086242675781;
1998510000;-83.882400512695313;
1998520000;-83.79302978515625;
1998530000;-83.127815246582031;
1998540000;-83.597747802734375;
1998550000;-83.468132019042969;
1998560000;-83.211593627929688;
1998570000;-81.440597534179688;
1998580000;-83.725959777832031;
1998590000;-82.995834350585937;
1998600000;-83.8138427734375;
1998610000;-83.544784545898438;
1998620000;-83.94580078125;
1998630000;-83.719505310058594;
1998640000;-83.986152648925781;
1998650000;-82.996833801269531;
1998660000;-82.977188110351563;
1998670000;-83.61651611328125;
1998680000;-83.318290710449219;
1998690000;-83.486221313476562;
1998700000;-83.972366333007812;
1998710000;-83.212318420410156;
1998720000;-83.408332824707031;
1998730000;-83.677322387695312;
1998740000;-83.540695190429688;
1998750000;-82.950454711914063;
1998760000;-82.213478088378906;
1998770000;-82.140342712402344;
1998780000;-84.230781555175781;
1998790000;-84.348114013671875;
1998800000;-83.9107666015625;
1998810000;-83.993125915527344;
1998820000;-84.208503723144531;
1998830000;-83.044441223144531;
1998840000;-83.481208801269531;
1998850000;-83.981819152832031;
1998860000;-83.00103759765625;
1998870000;-84.022064208984375;
1998880000;-83.979148864746094;
1998890000;-83.222244262695313;
1998900000;-83.519073486328125;
1998910000;-84.234275817871094;
1998920000;-83.357017517089844;
1998930000;-84.314918518066406;
1998940000;-84.874580383300781;
1998950000;-84.766029357910156;
1998960000;-84.104652404785156;
1998970000;-84.125091552734375;
1998980000;-84.229888916015625;
1998990000;-84.445716857910156;
1999000000;-83.811004638671875;
1999010000;-83.000663757324219;
1999020000;-83.203697204589844;
1999030000;-84.391059875488281;
1999040000;-84.291435241699219;
1999050000;-82.948043823242188;
1999060000;-83.004135131835938;
1999070000;-84.230361938476562;
1999080000;-83.8157958984375;
1999090000;-83.481002807617188;
1999100000;-82.388389587402344;
1999110000;-82.904022216796875;
1999120000;-83.919273376464844;
