Type;FSL-6;
Version;2.00 SP3;
Date;19.Aug 15;
Mode;ANALYZER;
Center Freq;2000000000.000000;Hz
Freq Offset;0.000000;Hz
Span;1000000.000000;Hz
x-Axis;LIN;
Start;1999500000.000000;Hz
Stop;2000500000.000000;Hz
Ref Level;0.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;20.000000;dB
RBW;30000.000000;Hz
VBW;100000.000000;Hz
SWT;0.002500;s
Trace Mode;VIEW;
Detector;MAXPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;501;
1999500000;-64.633575439453125;
1999502000;-64.754356384277344;
1999504000;-65.02886962890625;
1999506000;-65.642021179199219;
1999508000;-65.509124755859375;
1999510000;-65.957183837890625;
1999512000;-66.282417297363281;
1999514000;-66.286979675292969;
1999516000;-65.646995544433594;
1999518000;-65.324501037597656;
1999520000;-65.339286804199219;
1999522000;-65.176071166992188;
1999524000;-65.189796447753906;
1999526000;-64.978622436523438;
1999528000;-65.171134948730469;
1999530000;-65.255531311035156;
1999532000;-64.442344665527344;
1999534000;-64.289161682128906;
1999536000;-64.29278564453125;
1999538000;-63.848686218261719;
1999540000;-63.607822418212891;
1999542000;-64.152183532714844;
1999544000;-66.297561645507813;
1999546000;-66.067901611328125;
1999548000;-65.5076904296875;
1999550000;-65.498428344726563;
1999552000;-65.05841064453125;
1999554000;-64.924644470214844;
1999556000;-64.976600646972656;
1999558000;-64.738899230957031;
1999560000;-63.258350372314453;
1999562000;-62.43341064453125;
1999564000;-62.410423278808594;
1999566000;-63.930519104003906;
1999568000;-64.811309814453125;
1999570000;-64.705741882324219;
1999572000;-64.041091918945313;
1999574000;-63.305591583251953;
1999576000;-63.603237152099609;
1999578000;-63.668880462646484;
1999580000;-63.582298278808594;
1999582000;-63.912094116210938;
1999584000;-63.798881530761719;
1999586000;-63.184379577636719;
1999588000;-63.126056671142578;
1999590000;-63.183677673339844;
1999592000;-64.286109924316406;
1999594000;-64.329238891601563;
1999596000;-63.968681335449219;
1999598000;-62.121959686279297;
1999600000;-61.491329193115234;
1999602000;-61.415462493896484;
1999604000;-61.680007934570313;
1999606000;-62.887130737304688;
1999608000;-62.727699279785156;
1999610000;-62.689945220947266;
1999612000;-62.146244049072266;
1999614000;-61.072929382324219;
1999616000;-60.648441314697266;
1999618000;-60.623481750488281;
1999620000;-60.734729766845703;
1999622000;-60.649311065673828;
1999624000;-61.413040161132813;
1999626000;-61.815883636474609;
1999628000;-61.683437347412109;
1999630000;-61.701816558837891;
1999632000;-61.140464782714844;
1999634000;-61.058521270751953;
1999636000;-61.506141662597656;
1999638000;-60.27142333984375;
1999640000;-59.883953094482422;
1999642000;-59.886119842529297;
1999644000;-60.683135986328125;
1999646000;-61.52880859375;
1999648000;-62.286003112792969;
1999650000;-61.112808227539062;
1999652000;-60.942283630371094;
1999654000;-61.273231506347656;
1999656000;-60.938747406005859;
1999658000;-60.4176025390625;
1999660000;-60.672298431396484;
1999662000;-61.637088775634766;
1999664000;-61.260715484619141;
1999666000;-60.219223022460938;
1999668000;-60.142318725585938;
1999670000;-60.314262390136719;
1999672000;-60.862899780273438;
1999674000;-60.833393096923828;
1999676000;-61.159133911132813;
1999678000;-61.559200286865234;
1999680000;-61.437931060791016;
1999682000;-61.926120758056641;
1999684000;-62.061733245849609;
1999686000;-61.651805877685547;
1999688000;-61.739513397216797;
1999690000;-62.209774017333984;
1999692000;-62.050888061523438;
1999694000;-62.274311065673828;
1999696000;-61.662979125976562;
1999698000;-61.387336730957031;
1999700000;-61.47821044921875;
1999702000;-61.122673034667969;
1999704000;-60.753379821777344;
1999706000;-60.8668212890625;
1999708000;-61.452247619628906;
1999710000;-61.646060943603516;
1999712000;-61.834941864013672;
1999714000;-61.327713012695313;
1999716000;-61.175357818603516;
1999718000;-61.257335662841797;
1999720000;-61.965690612792969;
1999722000;-60.753593444824219;
1999724000;-60.703659057617188;
1999726000;-61.446186065673828;
1999728000;-61.629116058349609;
1999730000;-61.397323608398438;
1999732000;-61.450839996337891;
1999734000;-59.649642944335938;
1999736000;-59.566135406494141;
1999738000;-60.700065612792969;
1999740000;-59.615814208984375;
1999742000;-57.924121856689453;
1999744000;-57.115913391113281;
1999746000;-56.517127990722656;
1999748000;-55.188014984130859;
1999750000;-52.702922821044922;
1999752000;-51.282783508300781;
1999754000;-50.023307800292969;
1999756000;-48.395771026611328;
1999758000;-47.3814697265625;
1999760000;-45.287166595458984;
1999762000;-44.189594268798828;
1999764000;-42.255168914794922;
1999766000;-41.442802429199219;
1999768000;-40.154701232910156;
1999770000;-38.745529174804688;
1999772000;-37.437862396240234;
1999774000;-36.431377410888672;
1999776000;-35.403266906738281;
1999778000;-34.271728515625;
1999780000;-33.557163238525391;
1999782000;-32.488372802734375;
1999784000;-31.422859191894531;
1999786000;-30.298393249511719;
1999788000;-29.815328598022461;
1999790000;-29.202186584472656;
1999792000;-28.800718307495117;
1999794000;-27.6131591796875;
1999796000;-27.110830307006836;
1999798000;-26.686071395874023;
1999800000;-26.486639022827148;
1999802000;-25.738918304443359;
1999804000;-25.72038459777832;
1999806000;-25.072710037231445;
1999808000;-24.666912078857422;
1999810000;-24.522529602050781;
1999812000;-24.53980827331543;
1999814000;-24.241445541381836;
1999816000;-23.761953353881836;
1999818000;-23.326797485351563;
1999820000;-22.893423080444336;
1999822000;-22.137125015258789;
1999824000;-21.756046295166016;
1999826000;-21.493408203125;
1999828000;-21.351228713989258;
1999830000;-21.46575927734375;
1999832000;-21.591032028198242;
1999834000;-20.926586151123047;
1999836000;-20.487367630004883;
1999838000;-20.30598258972168;
1999840000;-20.137716293334961;
1999842000;-19.597452163696289;
1999844000;-19.066492080688477;
1999846000;-18.927417755126953;
1999848000;-18.918899536132812;
1999850000;-19.068231582641602;
1999852000;-18.877956390380859;
1999854000;-18.367603302001953;
1999856000;-17.906957626342773;
1999858000;-17.577108383178711;
1999860000;-17.600223541259766;
1999862000;-16.899810791015625;
1999864000;-16.150577545166016;
1999866000;-15.93358325958252;
1999868000;-16.054950714111328;
1999870000;-16.608894348144531;
1999872000;-16.794900894165039;
1999874000;-17.140607833862305;
1999876000;-16.611248016357422;
1999878000;-16.391080856323242;
1999880000;-16.772928237915039;
1999882000;-16.513954162597656;
1999884000;-16.121683120727539;
1999886000;-15.971588134765625;
1999888000;-15.901806831359863;
1999890000;-15.474611282348633;
1999892000;-15.427011489868164;
1999894000;-15.696358680725098;
1999896000;-16.072778701782227;
1999898000;-15.971291542053223;
1999900000;-16.081106185913086;
1999902000;-15.625007629394531;
1999904000;-15.170872688293457;
1999906000;-14.978246688842773;
