Date,SNR,BER,PER
15.09.2015-14-49-55,10.93,0.08776580,0.87600000
15.09.2015-14-54-06,11.00,0.08905470,0.88400000
15.09.2015-14-58-10,11.07,0.08634160,0.86820000
15.09.2015-15-02-25,11.08,0.08697312,0.87970000
15.09.2015-15-06-34,11.10,0.08562412,0.87440000
15.09.2015-15-10-41,11.11,0.08268685,0.86600000
15.09.2015-15-14-50,11.13,0.08183802,0.85110000
