Date,SNR,BER,PER
15.09.2015-13-52-56,11.13,0.03283158,0.61080000
15.09.2015-13-56-32,11.20,0.03335355,0.57630000
15.09.2015-14-00-05,11.27,0.03006295,0.51860000
15.09.2015-14-03-39,11.32,0.02846905,0.49000000
15.09.2015-14-07-12,11.37,0.02987808,0.48360000
15.09.2015-14-10-44,11.41,0.03363073,0.50420000
15.09.2015-14-14-24,11.45,0.03201635,0.51230000
15.09.2015-14-17-59,11.48,0.03477782,0.50560000
15.09.2015-14-21-32,11.51,0.03177903,0.50430000
15.09.2015-14-25-14,11.52,0.03657715,0.50870000
15.09.2015-14-28-52,11.54,0.03804693,0.53530000
15.09.2015-14-32-29,11.55,0.03459972,0.52650000
15.09.2015-14-36-13,11.57,0.04044225,0.55460000
15.09.2015-14-40-05,11.59,0.04432067,0.58680000
