Date,SNR,#BER / Bad Packet,BER,PER
25.08.2015-15-29-09,14.95,735.70,0.00068052,0.00370000
25.08.2015-15-45-54,14.93,993.08,0.00032275,0.00130000
25.08.2015-16-02-39,14.91,784.21,0.00037250,0.00190000
